package_name,app_name,reviews,avg_stars,dataset,github_repo,likely_applicable
com.google.android.gms,,103535,4.02,sealuzh/app_reviews,,False
org.telegram.messenger,,22816,4.39,sealuzh/app_reviews,Telegram-FOSS-Team/Telegram-FOSS,True
org.ppsspp.ppsspp,,9771,4.17,sealuzh/app_reviews,hrydgard/ppsspp,True
com.frostwire.android,,8867,3.93,sealuzh/app_reviews,frostwire/frostwire,True
com.google.android.marvin.talkback,,7807,3.59,sealuzh/app_reviews,google/talkback,True
org.wikipedia,,5410,4.53,sealuzh/app_reviews,wikimedia/apps-android-wikipedia,True
net.sourceforge.opencamera,,3992,4.21,sealuzh/app_reviews,almalence/OpenCamera,True
org.wordpress.android,,3200,3.67,sealuzh/app_reviews,wordpress-mobile/WordPress-Android,True
com.google.android.apps.authenticator2,,2976,3.58,sealuzh/app_reviews,google/google-authenticator-android,True
org.torproject.android,,2941,3.74,sealuzh/app_reviews,guardianproject/orbot,True
com.google.android.stardroid,,2861,3.89,sealuzh/app_reviews,sky-map-team/stardroid,True
net.androgames.level,,2717,4.6,sealuzh/app_reviews,avinashsivaraman/android-level,True
com.google.zxing.client.android,,2566,3.69,sealuzh/app_reviews,zxing/zxing,True
com.grarak.kerneladiutor,,2485,4.47,sealuzh/app_reviews,,False
com.achep.acdisplay,,2479,3.52,sealuzh/app_reviews,,False
com.shahul3d.indiasatelliteweather,,2459,4.43,sealuzh/app_reviews,,False
com.zegoggles.smssync,,2423,3.7,sealuzh/app_reviews,jberkel/sms-backup-plus,True
com.watabou.pixeldungeon,,2407,4.24,sealuzh/app_reviews,00-Evan/shattered-pixel-dungeon,True
com.opendoorstudios.ds4droid,,2362,3.0,sealuzh/app_reviews,,False
com.reicast.emulator,,2356,3.11,sealuzh/app_reviews,,False
com.google.android.diskusage,,2343,4.71,sealuzh/app_reviews,IvanVolosyuk/diskusage,True
org.geometerplus.zlibrary.ui.android,,2294,3.92,sealuzh/app_reviews,geometer/FBReaderJ,True
net.nurik.roman.muzei,,2239,3.85,sealuzh/app_reviews,romannurik/muzei,True
com.ringdroid,,2203,3.78,sealuzh/app_reviews,google/ringdroid,True
com.nilhcem.hostseditor,,2183,3.33,sealuzh/app_reviews,,False
net.nurik.roman.dashclock,,2099,3.4,sealuzh/app_reviews,,False
com.tmarki.comicmaker,,2091,3.87,sealuzh/app_reviews,,False
com.koushikdutta.superuser,,1920,3.57,sealuzh/app_reviews,,False
org.npr.android.news,,1725,3.03,sealuzh/app_reviews,,False
org.isoron.uhabits,,1660,4.66,sealuzh/app_reviews,iSoron/uhabits,True
com.fsck.k9,,1560,3.43,sealuzh/app_reviews,thunderbird/thunderbird-android,True
de.danoeh.antennapod,,1433,4.66,sealuzh/app_reviews,AntennaPod/AntennaPod,True
com.danvelazco.fbwrapper,,1394,3.6,sealuzh/app_reviews,,False
org.xbmc.kore,,1300,3.82,sealuzh/app_reviews,xbmc/Kore,True
com.totsp.crossword.shortyz,,1238,3.8,sealuzh/app_reviews,kebernet/shortyz,True
com.duckduckgo.mobile.android,,1193,4.16,sealuzh/app_reviews,duckduckgo/Android,True
org.openintents.filemanager,,1178,4.23,sealuzh/app_reviews,openintents/filemanager,True
at.tomtasche.reader,,1172,3.99,sealuzh/app_reviews,andiwand/DocumentViewer,True
com.seb.SLWP,,1147,3.97,sealuzh/app_reviews,,False
com.asksven.betterbatterystats,,1140,4.26,sealuzh/app_reviews,,False
com.ihunda.android.binauralbeat,,1095,4.37,sealuzh/app_reviews,,False
ro.weednet.contactssync,,1081,3.65,sealuzh/app_reviews,,False
ohi.andre.consolelauncher,,1076,4.6,sealuzh/app_reviews,,False
com.gpl.rpg.AndorsTrail,,1058,4.11,sealuzh/app_reviews,,False
com.simplemobiletools.gallery,,1036,4.18,sealuzh/app_reviews,SimpleMobileTools/Simple-Gallery,True
com.menny.android.anysoftkeyboard,,1006,4.18,sealuzh/app_reviews,,False
org.kde.necessitas.ministro,,953,3.3,sealuzh/app_reviews,,False
org.wahtod.wififixer,,908,3.6,sealuzh/app_reviews,,False
com.ichi2.anki,,890,4.39,sealuzh/app_reviews,ankidroid/Anki-Android,True
com.amaze.filemanager,,857,3.94,sealuzh/app_reviews,,False
org.kiwix.kiwixmobile,,795,4.3,sealuzh/app_reviews,,False
ru.gelin.android.sendtosd,,770,3.31,sealuzh/app_reviews,,False
org.petero.droidfish,,751,4.59,sealuzh/app_reviews,,False
com.android.keepass,,734,4.03,sealuzh/app_reviews,bpellin/keepassdroid,True
mohammad.adib.roundr,,694,4.04,sealuzh/app_reviews,,False
org.smc.inputmethod.indic,,676,4.01,sealuzh/app_reviews,,False
info.papdt.blackblub,,660,4.51,sealuzh/app_reviews,,False
com.numix.icons_circle,,653,3.75,sealuzh/app_reviews,,False
com.catchingnow.tinyclipboardmanager,,653,4.43,sealuzh/app_reviews,,False
com.ds.avare,,619,4.59,sealuzh/app_reviews,,False
com.eleybourn.bookcatalogue,,615,4.13,sealuzh/app_reviews,,False
com.termux,,593,4.61,sealuzh/app_reviews,termux/termux-app,True
com.dozuki.ifixit,,574,4.22,sealuzh/app_reviews,,False
com.plusonelabs.calendar,,549,3.91,sealuzh/app_reviews,,False
org.scummvm.scummvm,,543,3.82,sealuzh/app_reviews,,False
com.mattgmg.miracastwidget,,521,2.56,sealuzh/app_reviews,,False
com.manor.currentwidget,,515,2.71,sealuzh/app_reviews,,False
com.olam,,507,4.39,sealuzh/app_reviews,,False
com.daviancorp.android.mh4udatabase,,488,4.51,sealuzh/app_reviews,,False
com.moez.QKSMS,,485,3.57,sealuzh/app_reviews,,False
org.cprados.wificellmanager,,477,3.83,sealuzh/app_reviews,,False
org.michaelevans.nightmodeenabler,,462,3.56,sealuzh/app_reviews,,False
de.ph1b.audiobook,,451,4.02,sealuzh/app_reviews,,False
de.blinkt.openvpn,,449,4.04,sealuzh/app_reviews,,False
com.vrem.wifianalyzer,,449,4.47,sealuzh/app_reviews,,False
name.boyle.chris.sgtpuzzles,,449,4.85,sealuzh/app_reviews,,False
com.better.alarm,,413,4.14,sealuzh/app_reviews,,False
